"gene","atlas","tissue","compartment","pct_cells_detected","n_cells","qualifying"
"OAS1","GSE125449","liver_biliary","epithelial",0.0866192630898513,3094,TRUE
"OPRM1","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"PAX3","GSE125449","liver_biliary","epithelial",NA,3094,TRUE
"PHB","GSE125449","liver_biliary","epithelial",0.507110536522301,3094,TRUE
"POU2F1","GSE125449","liver_biliary","epithelial",0.0765998707175178,3094,TRUE
"PPARA","GSE125449","liver_biliary","epithelial",0.106334841628959,3094,TRUE
"PRDM1","GSE125449","liver_biliary","epithelial",0.0177763413057531,3094,TRUE
"PROS1","GSE125449","liver_biliary","epithelial",0.208791208791209,3094,TRUE
"PSMB5","GSE125449","liver_biliary","epithelial",0.498707175177763,3094,TRUE
"PTGS2","GSE125449","liver_biliary","epithelial",0.0148674854557207,3094,TRUE
"PTPN6","GSE125449","liver_biliary","epithelial",0.06819650937298,3094,TRUE
"ROR1","GSE125449","liver_biliary","epithelial",0.0252100840336134,3094,TRUE
"S100A11","GSE125449","liver_biliary","epithelial",0.79928894634777,3094,TRUE
"S1PR1","GSE125449","liver_biliary","epithelial",0.00872656755009696,3094,TRUE
"SALL4","GSE125449","liver_biliary","epithelial",0.0119586296056884,3094,TRUE
"SHH","GSE125449","liver_biliary","epithelial",0.0471881060116354,3094,TRUE
"STK11","GSE125449","liver_biliary","epithelial",0.102779573367809,3094,TRUE
"TIMP1","GSE125449","liver_biliary","epithelial",0.624111182934712,3094,TRUE
"TNFRSF10B","GSE125449","liver_biliary","epithelial",0.120879120879121,3094,TRUE
"TP53","GSE125449","liver_biliary","epithelial",0.118616677440207,3094,TRUE
"TP63","GSE125449","liver_biliary","epithelial",0.00161603102779573,3094,TRUE
"VDR","GSE125449","liver_biliary","epithelial",0.0235940530058177,3094,TRUE
"VEGFA","GSE125449","liver_biliary","epithelial",0.425662572721396,3094,TRUE
"VEGFB","GSE125449","liver_biliary","epithelial",0.12863606981254,3094,TRUE
"ZFP36","GSE125449","liver_biliary","epithelial",0.361344537815126,3094,TRUE
"A2M","GSE125449","liver_biliary","epithelial",0.174531351001939,3094,TRUE
"HMOX1","GSE125449","liver_biliary","epithelial",0.0636716224951519,3094,TRUE
"IFNAR1","GSE125449","liver_biliary","epithelial",0.183581124757595,3094,TRUE
"IRF1","GSE125449","liver_biliary","epithelial",0.228829993535876,3094,TRUE
"MYD88","GSE125449","liver_biliary","epithelial",0.0850032320620556,3094,TRUE
"PIM1","GSE125449","liver_biliary","epithelial",0.0798319327731092,3094,TRUE
"STAT1","GSE125449","liver_biliary","epithelial",0.33710407239819,3094,TRUE
"TYK2","GSE125449","liver_biliary","epithelial",0.0646412411118294,3094,TRUE
"BCL2","GSE125449","liver_biliary","epithelial",0.0494505494505494,3094,FALSE
"MMP9","GSE125449","liver_biliary","epithelial",0.00678733031674208,3094,FALSE
"HGF","GSE125449","liver_biliary","epithelial",0.0158371040723982,3094,FALSE
"MYC","GSE125449","liver_biliary","fibroblast_stromal",0.317023445463812,981,TRUE
"IL6","GSE125449","liver_biliary","fibroblast_stromal",0.0968399592252803,981,TRUE
"SOCS3","GSE125449","liver_biliary","fibroblast_stromal",0.45158002038736,981,TRUE
"ACVR1B","GSE125449","liver_biliary","fibroblast_stromal",0.0448521916411825,981,TRUE
"ACVRL1","GSE125449","liver_biliary","fibroblast_stromal",0.0662589194699287,981,TRUE
"BAK1","GSE125449","liver_biliary","fibroblast_stromal",0.0744138634046891,981,TRUE
"CBL","GSE125449","liver_biliary","fibroblast_stromal",0.073394495412844,981,TRUE
"CCL7","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CCR1","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"CD14","GSE125449","liver_biliary","fibroblast_stromal",0.0397553516819572,981,TRUE
"CD36","GSE125449","liver_biliary","fibroblast_stromal",0.294597349643221,981,TRUE
"CD38","GSE125449","liver_biliary","fibroblast_stromal",0.0112130479102956,981,TRUE
"CD44","GSE125449","liver_biliary","fibroblast_stromal",0.322120285423038,981,TRUE
"CD9","GSE125449","liver_biliary","fibroblast_stromal",0.583078491335372,981,TRUE
"CNTFR","GSE125449","liver_biliary","fibroblast_stromal",0.00509683995922528,981,TRUE
"CRLF2","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CSF1","GSE125449","liver_biliary","fibroblast_stromal",0.121304791029562,981,TRUE
"CSF2","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"CSF2RA","GSE125449","liver_biliary","fibroblast_stromal",0.00713557594291539,981,TRUE
"CSF2RB","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"CSF3R","GSE125449","liver_biliary","fibroblast_stromal",0.00305810397553517,981,TRUE
"CXCL1","GSE125449","liver_biliary","fibroblast_stromal",0.036697247706422,981,TRUE
"CXCL10","GSE125449","liver_biliary","fibroblast_stromal",0.0132517838939857,981,TRUE
"CXCL11","GSE125449","liver_biliary","fibroblast_stromal",0.0101936799184506,981,TRUE
"CXCL13","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"CXCL3","GSE125449","liver_biliary","fibroblast_stromal",0.036697247706422,981,TRUE
"CXCL9","GSE125449","liver_biliary","fibroblast_stromal",0.0203873598369011,981,TRUE
"DNTT","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"EBI3","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"FAS","GSE125449","liver_biliary","fibroblast_stromal",0.178389398572885,981,TRUE
"GRB2","GSE125449","liver_biliary","fibroblast_stromal",0.154943934760449,981,TRUE
"HAX1","GSE125449","liver_biliary","fibroblast_stromal",0.314984709480122,981,TRUE
"IFNGR1","GSE125449","liver_biliary","fibroblast_stromal",0.214067278287462,981,TRUE
"IFNGR2","GSE125449","liver_biliary","fibroblast_stromal",0.162079510703364,981,TRUE
"IL10RB","GSE125449","liver_biliary","fibroblast_stromal",0.113149847094801,981,TRUE
"IL12RB1","GSE125449","liver_biliary","fibroblast_stromal",0.017329255861366,981,TRUE
"IL13RA1","GSE125449","liver_biliary","fibroblast_stromal",0.123343527013252,981,TRUE
"IL15RA","GSE125449","liver_biliary","fibroblast_stromal",0.0774719673802243,981,TRUE
"IL17RA","GSE125449","liver_biliary","fibroblast_stromal",0.0581039755351682,981,TRUE
"IL17RB","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"IL18R1","GSE125449","liver_biliary","fibroblast_stromal",0.0091743119266055,981,TRUE
"IL1B","GSE125449","liver_biliary","fibroblast_stromal",0.00611620795107034,981,TRUE
"IL1R1","GSE125449","liver_biliary","fibroblast_stromal",0.161060142711519,981,TRUE
"IL1R2","GSE125449","liver_biliary","fibroblast_stromal",0.00713557594291539,981,TRUE
"IL2RA","GSE125449","liver_biliary","fibroblast_stromal",0.00203873598369011,981,TRUE
"IL2RG","GSE125449","liver_biliary","fibroblast_stromal",0.0163098878695209,981,TRUE
"IL3RA","GSE125449","liver_biliary","fibroblast_stromal",0.0112130479102956,981,TRUE
"IL4R","GSE125449","liver_biliary","fibroblast_stromal",0.0948012232415902,981,TRUE
"IL6ST","GSE125449","liver_biliary","fibroblast_stromal",0.365953109072375,981,TRUE
"IL7","GSE125449","liver_biliary","fibroblast_stromal",0.0254841997961264,981,TRUE
"IL9R","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"INHBE","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"IRF9","GSE125449","liver_biliary","fibroblast_stromal",0.0815494393476045,981,TRUE
"ITGA4","GSE125449","liver_biliary","fibroblast_stromal",0.0438328236493374,981,TRUE
"ITGB3","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"JUN","GSE125449","liver_biliary","fibroblast_stromal",0.82262996941896,981,TRUE
"LEPR","GSE125449","liver_biliary","fibroblast_stromal",0.0295616717635066,981,TRUE
"LTB","GSE125449","liver_biliary","fibroblast_stromal",0.0448521916411825,981,TRUE
"LTBR","GSE125449","liver_biliary","fibroblast_stromal",0.226299694189602,981,TRUE
"MAP3K8","GSE125449","liver_biliary","fibroblast_stromal",0.108053007135576,981,TRUE
"OSMR","GSE125449","liver_biliary","fibroblast_stromal",0.141692150866463,981,TRUE
"PDGFC","GSE125449","liver_biliary","fibroblast_stromal",0.072375127420999,981,TRUE
"PF4","GSE125449","liver_biliary","fibroblast_stromal",0.00101936799184506,981,TRUE
"PIK3R5","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"PLA2G2A","GSE125449","liver_biliary","fibroblast_stromal",0.0458715596330275,981,TRUE
"PTPN1","GSE125449","liver_biliary","fibroblast_stromal",0.106014271151886,981,TRUE
"PTPN11","GSE125449","liver_biliary","fibroblast_stromal",0.112130479102956,981,TRUE
"PTPN2","GSE125449","liver_biliary","fibroblast_stromal",0.162079510703364,981,TRUE
"REG1A","GSE125449","liver_biliary","fibroblast_stromal",0.0112130479102956,981,TRUE
"SOCS1","GSE125449","liver_biliary","fibroblast_stromal",0.0621814475025484,981,TRUE
"STAM2","GSE125449","liver_biliary","fibroblast_stromal",0.0468909276248726,981,TRUE
"STAT2","GSE125449","liver_biliary","fibroblast_stromal",0.141692150866463,981,TRUE
"STAT3","GSE125449","liver_biliary","fibroblast_stromal",0.435270132517839,981,TRUE
"TGFB1","GSE125449","liver_biliary","fibroblast_stromal",0.253822629969419,981,TRUE
"TLR2","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"TNF","GSE125449","liver_biliary","fibroblast_stromal",0.00509683995922528,981,TRUE
"TNFRSF12A","GSE125449","liver_biliary","fibroblast_stromal",0.291539245667686,981,TRUE
"TNFRSF1A","GSE125449","liver_biliary","fibroblast_stromal",0.399592252803262,981,TRUE
"TNFRSF1B","GSE125449","liver_biliary","fibroblast_stromal",0.0744138634046891,981,TRUE
"TNFRSF21","GSE125449","liver_biliary","fibroblast_stromal",0.208970438328237,981,TRUE
"ABCA1","GSE125449","liver_biliary","fibroblast_stromal",0.0968399592252803,981,TRUE
"AKAP12","GSE125449","liver_biliary","fibroblast_stromal",0.297655453618756,981,TRUE
"BCL2L1","GSE125449","liver_biliary","fibroblast_stromal",0.18348623853211,981,TRUE
"BCL6","GSE125449","liver_biliary","fibroblast_stromal",0.0713557594291539,981,TRUE
"CCND1","GSE125449","liver_biliary","fibroblast_stromal",0.417940876656473,981,TRUE
"CCND3","GSE125449","liver_biliary","fibroblast_stromal",0.161060142711519,981,TRUE
"CDK4","GSE125449","liver_biliary","fibroblast_stromal",0.303771661569827,981,TRUE
"CDKN1A","GSE125449","liver_biliary","fibroblast_stromal",0.396534148827727,981,TRUE
"CDKN1B","GSE125449","liver_biliary","fibroblast_stromal",0.215086646279307,981,TRUE
"CFLAR","GSE125449","liver_biliary","fibroblast_stromal",0.223241590214067,981,TRUE
"CISH","GSE125449","liver_biliary","fibroblast_stromal",0.0570846075433231,981,TRUE
"COPS5","GSE125449","liver_biliary","fibroblast_stromal",0.190621814475025,981,TRUE
"CXCL8","GSE125449","liver_biliary","fibroblast_stromal",0.0336391437308868,981,TRUE
"DDIT3","GSE125449","liver_biliary","fibroblast_stromal",0.259938837920489,981,TRUE
"DNMT1","GSE125449","liver_biliary","fibroblast_stromal",0.102956167176351,981,TRUE
"EPAS1","GSE125449","liver_biliary","fibroblast_stromal",0.530071355759429,981,TRUE
"ESR2","GSE125449","liver_biliary","fibroblast_stromal",0.00509683995922528,981,TRUE
"ETV6","GSE125449","liver_biliary","fibroblast_stromal",0.0591233435270133,981,TRUE
"FGG","GSE125449","liver_biliary","fibroblast_stromal",0.0316004077471967,981,TRUE
"FGL1","GSE125449","liver_biliary","fibroblast_stromal",0.0122324159021407,981,TRUE
"FOS","GSE125449","liver_biliary","fibroblast_stromal",0.859327217125382,981,TRUE
"GFAP","GSE125449","liver_biliary","fibroblast_stromal",0.00101936799184506,981,TRUE
"GREB1","GSE125449","liver_biliary","fibroblast_stromal",0.00611620795107034,981,TRUE
"HSPA4","GSE125449","liver_biliary","fibroblast_stromal",0.196738022426096,981,TRUE
"HSPB1","GSE125449","liver_biliary","fibroblast_stromal",0.926605504587156,981,TRUE
"ICAM1","GSE125449","liver_biliary","fibroblast_stromal",0.0886850152905199,981,TRUE
"IKBKE","GSE125449","liver_biliary","fibroblast_stromal",0.017329255861366,981,TRUE
"JAK2","GSE125449","liver_biliary","fibroblast_stromal",0.0234454638124363,981,TRUE
"JUNB","GSE125449","liver_biliary","fibroblast_stromal",0.825688073394495,981,TRUE
"KRT17","GSE125449","liver_biliary","fibroblast_stromal",0.0234454638124363,981,TRUE
"LEP","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"LGALS3BP","GSE125449","liver_biliary","fibroblast_stromal",0.622833843017329,981,TRUE
"LTBP1","GSE125449","liver_biliary","fibroblast_stromal",0.349643221202854,981,TRUE
