"gene","atlas","tissue","compartment","fraction","n_cells","qualifying"
"TNF","GSE125449","liver_biliary","fibroblast_stromal",0.00566251415628539,981,TRUE
"TNFRSF12A","GSE125449","liver_biliary","fibroblast_stromal",0.0891225434973088,981,TRUE
"TNFRSF1A","GSE125449","liver_biliary","fibroblast_stromal",0.200688073394495,981,TRUE
"TNFRSF1B","GSE125449","liver_biliary","fibroblast_stromal",0.052784222737819,981,TRUE
"TNFRSF21","GSE125449","liver_biliary","fibroblast_stromal",0.198146828225232,981,TRUE
"ABCA1","GSE125449","liver_biliary","fibroblast_stromal",0.124724061810155,981,TRUE
"AKAP12","GSE125449","liver_biliary","fibroblast_stromal",0.236415247364152,981,TRUE
"BCL2L1","GSE125449","liver_biliary","fibroblast_stromal",0.0847049377759936,981,TRUE
"BCL6","GSE125449","liver_biliary","fibroblast_stromal",0.116279069767442,981,TRUE
"CCND1","GSE125449","liver_biliary","fibroblast_stromal",0.164393939393939,981,TRUE
"CCND3","GSE125449","liver_biliary","fibroblast_stromal",0.0652920962199313,981,TRUE
"CDK4","GSE125449","liver_biliary","fibroblast_stromal",0.102914150695721,981,TRUE
"CDKN1A","GSE125449","liver_biliary","fibroblast_stromal",0.124848239579118,981,TRUE
"CDKN1B","GSE125449","liver_biliary","fibroblast_stromal",0.13464447806354,981,TRUE
"CFLAR","GSE125449","liver_biliary","fibroblast_stromal",0.0576634109691961,981,TRUE
"CISH","GSE125449","liver_biliary","fibroblast_stromal",0.161290322580645,981,TRUE
"COPS5","GSE125449","liver_biliary","fibroblast_stromal",0.103290676416819,981,TRUE
"CXCL8","GSE125449","liver_biliary","fibroblast_stromal",0.0048358822462673,981,TRUE
"DDIT3","GSE125449","liver_biliary","fibroblast_stromal",0.0802715654952077,981,TRUE
"DNMT1","GSE125449","liver_biliary","fibroblast_stromal",0.0560037968675842,981,TRUE
"EPAS1","GSE125449","liver_biliary","fibroblast_stromal",0.182662968099861,981,TRUE
"ESR2","GSE125449","liver_biliary","fibroblast_stromal",0.0476190476190476,981,TRUE
"ETV6","GSE125449","liver_biliary","fibroblast_stromal",0.0837837837837838,981,TRUE
"FGG","GSE125449","liver_biliary","fibroblast_stromal",0.00115707260630605,981,TRUE
"FGL1","GSE125449","liver_biliary","fibroblast_stromal",0.00144092219020173,981,TRUE
"FOS","GSE125449","liver_biliary","fibroblast_stromal",0.260207532017414,981,TRUE
"GFAP","GSE125449","liver_biliary","fibroblast_stromal",0.05,981,TRUE
"GREB1","GSE125449","liver_biliary","fibroblast_stromal",0.0666666666666667,981,TRUE
"HSPA4","GSE125449","liver_biliary","fibroblast_stromal",0.0988880063542494,981,TRUE
"HSPB1","GSE125449","liver_biliary","fibroblast_stromal",0.171189763698277,981,TRUE
"ICAM1","GSE125449","liver_biliary","fibroblast_stromal",0.0478943022295623,981,TRUE
"IKBKE","GSE125449","liver_biliary","fibroblast_stromal",0.0388768898488121,981,TRUE
"JAK2","GSE125449","liver_biliary","fibroblast_stromal",0.0966542750929368,981,TRUE
"JUNB","GSE125449","liver_biliary","fibroblast_stromal",0.205479605683717,981,TRUE
"KRT17","GSE125449","liver_biliary","fibroblast_stromal",0.00413406171563561,981,TRUE
"LEP","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"LGALS3BP","GSE125449","liver_biliary","fibroblast_stromal",0.230266465560583,981,TRUE
"LTBP1","GSE125449","liver_biliary","fibroblast_stromal",0.627416520210896,981,TRUE
"MCL1","GSE125449","liver_biliary","fibroblast_stromal",0.0741968759210139,981,TRUE
"MDC1","GSE125449","liver_biliary","fibroblast_stromal",0.0767263427109974,981,TRUE
"MMP1","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"MMP7","GSE125449","liver_biliary","fibroblast_stromal",0.00154978690430066,981,TRUE
"MUC1","GSE125449","liver_biliary","fibroblast_stromal",0.00422974176313446,981,TRUE
"NME1","GSE125449","liver_biliary","fibroblast_stromal",0.0536801328168235,981,TRUE
"OAS1","GSE125449","liver_biliary","fibroblast_stromal",0.0508982035928144,981,TRUE
"OPRM1","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"PAX3","GSE125449","liver_biliary","fibroblast_stromal",NA,981,TRUE
"PHB","GSE125449","liver_biliary","fibroblast_stromal",0.0677941176470588,981,TRUE
"POU2F1","GSE125449","liver_biliary","fibroblast_stromal",0.0964777947932619,981,TRUE
"PPARA","GSE125449","liver_biliary","fibroblast_stromal",0.0958904109589041,981,TRUE
"PRDM1","GSE125449","liver_biliary","fibroblast_stromal",0.0148335745296671,981,TRUE
"PROS1","GSE125449","liver_biliary","fibroblast_stromal",0.194520547945205,981,TRUE
"PSMB5","GSE125449","liver_biliary","fibroblast_stromal",0.10975954738331,981,TRUE
"PTGS2","GSE125449","liver_biliary","fibroblast_stromal",0.251585623678647,981,TRUE
"PTPN6","GSE125449","liver_biliary","fibroblast_stromal",0.00905349794238683,981,TRUE
"ROR1","GSE125449","liver_biliary","fibroblast_stromal",0.127450980392157,981,TRUE
"S100A11","GSE125449","liver_biliary","fibroblast_stromal",0.0599429898996556,981,TRUE
"S1PR1","GSE125449","liver_biliary","fibroblast_stromal",0.00597609561752988,981,TRUE
"SALL4","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"SHH","GSE125449","liver_biliary","fibroblast_stromal",0,981,TRUE
"STK11","GSE125449","liver_biliary","fibroblast_stromal",0.122015915119363,981,TRUE
"TIMP1","GSE125449","liver_biliary","fibroblast_stromal",0.590513988288874,981,TRUE
"TNFRSF10B","GSE125449","liver_biliary","fibroblast_stromal",0.0452488687782805,981,TRUE
"TP53","GSE125449","liver_biliary","fibroblast_stromal",0.10359231411863,981,TRUE
"TP63","GSE125449","liver_biliary","fibroblast_stromal",0.117647058823529,981,TRUE
"VDR","GSE125449","liver_biliary","fibroblast_stromal",0.0769230769230769,981,TRUE
"VEGFA","GSE125449","liver_biliary","fibroblast_stromal",0.0229924502402196,981,TRUE
"VEGFB","GSE125449","liver_biliary","fibroblast_stromal",0.110285006195787,981,TRUE
"ZFP36","GSE125449","liver_biliary","fibroblast_stromal",0.167682141937698,981,TRUE
"A2M","GSE125449","liver_biliary","fibroblast_stromal",0.14864189301783,981,TRUE
"HMOX1","GSE125449","liver_biliary","fibroblast_stromal",0.0361635220125786,981,TRUE
"IFNAR1","GSE125449","liver_biliary","fibroblast_stromal",0.102697998259356,981,TRUE
"IRF1","GSE125449","liver_biliary","fibroblast_stromal",0.0654175152749491,981,TRUE
"MYD88","GSE125449","liver_biliary","fibroblast_stromal",0.0513833992094862,981,TRUE
"PIM1","GSE125449","liver_biliary","fibroblast_stromal",0.066003616636528,981,TRUE
"STAT1","GSE125449","liver_biliary","fibroblast_stromal",0.0564356435643564,981,TRUE
"TYK2","GSE125449","liver_biliary","fibroblast_stromal",0.0632688927943761,981,TRUE
"BCL2","GSE125449","liver_biliary","fibroblast_stromal",0.0802395209580838,981,FALSE
"MMP9","GSE125449","liver_biliary","fibroblast_stromal",0.062874251497006,981,FALSE
"HGF","GSE125449","liver_biliary","fibroblast_stromal",0.726415094339623,981,FALSE
"MYC","GSE125449","liver_biliary","myeloid",0.0203836930455636,752,TRUE
"IL6","GSE125449","liver_biliary","myeloid",0.051150895140665,752,TRUE
"SOCS3","GSE125449","liver_biliary","myeloid",0.065425023877746,752,TRUE
"ACVR1B","GSE125449","liver_biliary","myeloid",0.0336134453781513,752,TRUE
"ACVRL1","GSE125449","liver_biliary","myeloid",0.0432852386237514,752,TRUE
"BAK1","GSE125449","liver_biliary","myeloid",0.112033195020747,752,TRUE
"CBL","GSE125449","liver_biliary","myeloid",0.129310344827586,752,TRUE
"CCL7","GSE125449","liver_biliary","myeloid",NA,752,TRUE
"CCR1","GSE125449","liver_biliary","myeloid",0.806122448979592,752,TRUE
"CD14","GSE125449","liver_biliary","myeloid",0.540495174150231,752,TRUE
"CD36","GSE125449","liver_biliary","myeloid",0.0628728774667279,752,TRUE
"CD38","GSE125449","liver_biliary","myeloid",0.125938281901585,752,TRUE
"CD44","GSE125449","liver_biliary","myeloid",0.184097700402754,752,TRUE
"CD9","GSE125449","liver_biliary","myeloid",0.0784493284493284,752,TRUE
"CNTFR","GSE125449","liver_biliary","myeloid",0,752,TRUE
"CRLF2","GSE125449","liver_biliary","myeloid",NA,752,TRUE
"CSF1","GSE125449","liver_biliary","myeloid",0.036682615629984,752,TRUE
"CSF2","GSE125449","liver_biliary","myeloid",NA,752,TRUE
"CSF2RA","GSE125449","liver_biliary","myeloid",0.66751269035533,752,TRUE
"CSF2RB","GSE125449","liver_biliary","myeloid",0.40809968847352,752,TRUE
