"gene","atlas","tissue","f_at_0.30","f_at_0.50","f_at_0.70","ci_lo_0.30","ci_hi_0.30","evaluable","dominant","dominant_50","dom_rate","dom_rate_lo","dom_rate_hi","dom_n_eval","dom50_rate","origin_six","in_panel","qualifying"
"IL18R1","GSE125449","liver_biliary",0.169658689005396,0.322840102865272,0.526611727605391,0.0873118426596835,0.276192459096325,TRUE,FALSE,FALSE,0,0,0,2000,0.01,FALSE,TRUE,TRUE
"IL1B","GSE125449","liver_biliary",0.0166826535946363,0.0380791761150885,0.0845582020450103,0.00175441477742646,0.0395354152444006,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"IL1R1","GSE125449","liver_biliary",0.427738751609694,0.635576280642784,0.802740712773232,0.278601350683538,0.626127179460397,TRUE,FALSE,TRUE,0.223,0,1,2000,0.9405,FALSE,TRUE,TRUE
"IL1R2","GSE125449","liver_biliary",0.72757790538149,0.861721963884449,0.935653587026441,0.525754508737557,0.864696856876581,TRUE,TRUE,TRUE,0.9885,1,1,2000,1,FALSE,TRUE,TRUE
"IL2RA","GSE125449","liver_biliary",0.0290771032664354,0.0653143706866969,0.140191505033145,0.00665846140303875,0.0696521137850163,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"IL2RG","GSE125449","liver_biliary",0.161587384588575,0.310203857370878,0.512030536981092,0.0655367281894243,0.305231807503351,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.0325,FALSE,TRUE,TRUE
"IL3RA","GSE125449","liver_biliary",0.0139817889398309,0.0320271124245752,0.0716694419573749,0.00329165195259826,0.0303983381688742,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"IL4R","GSE125449","liver_biliary",0.275667370515126,0.470345369531628,0.674484795231582,0.222810349414437,0.370879067995746,TRUE,FALSE,FALSE,0,0,0,2000,0.3235,FALSE,TRUE,TRUE
"IL6ST","GSE125449","liver_biliary",0.337419508045397,0.543014112502747,0.734929872528973,0.216595365403581,0.578038230412312,TRUE,FALSE,TRUE,0.097,0,1,2000,0.705,FALSE,TRUE,TRUE
"IL7","GSE125449","liver_biliary",0.447180128576252,0.653673750782272,0.814953662296143,0.304929744009314,0.609093575845344,TRUE,FALSE,TRUE,0.2715,0,1,2000,0.98,FALSE,TRUE,TRUE
"IL9R","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"INHBE","GSE125449","liver_biliary",0.994563518947987,0.997662818954584,0.998997011457215,0.93545353642282,0.998578515771574,TRUE,TRUE,TRUE,1,1,1,1998,1,FALSE,TRUE,TRUE
"IRF9","GSE125449","liver_biliary",0.142781576694846,0.279875577339994,0.475574206361918,0.0534841428531196,0.324161045564482,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.0415,FALSE,TRUE,TRUE
"ITGA4","GSE125449","liver_biliary",0.0107306678582671,0.0246850423486096,0.055763080153324,0.00355540102010724,0.0227951000798997,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"ITGB3","GSE125449","liver_biliary",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,0,NA,FALSE,TRUE,TRUE
"JUN","GSE125449","liver_biliary",0.184530424612641,0.345551342756951,0.551973080789533,0.0954704119849782,0.329942649952433,TRUE,FALSE,FALSE,0,0,0,2000,0.0545,FALSE,TRUE,TRUE
"LEPR","GSE125449","liver_biliary",0.714508728700812,0.853795030867219,0.931628590474998,0.444957384331283,0.847672929118237,TRUE,TRUE,TRUE,0.945,0,1,2000,1,FALSE,TRUE,TRUE
"LTB","GSE125449","liver_biliary",0.0822947735052145,0.173034672592742,0.32805991587155,0.0274277381866841,0.170221269214076,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"LTBR","GSE125449","liver_biliary",0.560216070244543,0.74825682968838,0.873981967582297,0.39227031737973,0.765328433457758,TRUE,TRUE,TRUE,0.7205,0,1,2000,1,FALSE,TRUE,TRUE
"MAP3K8","GSE125449","liver_biliary",0.332292861904637,0.537296815678669,0.730421621482809,0.0791616708147549,0.58084400969818,TRUE,FALSE,TRUE,0.105,0,1,2000,0.546,FALSE,TRUE,TRUE
"OSMR","GSE125449","liver_biliary",0.61512823530248,0.788551861972747,0.896925084269113,0.385385286642705,0.834464419971007,TRUE,TRUE,TRUE,0.818,0,1,2000,0.9965,FALSE,TRUE,TRUE
"PDGFC","GSE125449","liver_biliary",0.696545313728775,0.842665824192707,0.925909986851585,0.579990175970184,0.806878693208654,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
"PF4","GSE125449","liver_biliary",0.918030056907381,0.963143675340331,0.983864608735015,0.487992158377068,1,TRUE,TRUE,TRUE,0.991769547325103,1,1,1701,1,FALSE,TRUE,TRUE
"PIK3R5","GSE125449","liver_biliary",0.0365761219631107,0.0813757392936035,0.171291435428229,0.00713500734230808,0.087399123231654,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"PLA2G2A","GSE125449","liver_biliary",0.840423727437206,0.924748227558859,0.966300111024377,0.474589460545429,0.947627950282839,TRUE,TRUE,TRUE,0.969,0,1,2000,0.997,FALSE,TRUE,TRUE
"PTPN1","GSE125449","liver_biliary",0.250608412468133,0.438298055817315,0.645479132045488,0.126377510595086,0.404759296138516,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.261,FALSE,TRUE,TRUE
"PTPN11","GSE125449","liver_biliary",0.59030605940137,0.770746052147066,0.886936769852569,0.47042984323153,0.710415843929325,TRUE,TRUE,TRUE,0.924,0,1,2000,1,FALSE,TRUE,TRUE
"PTPN2","GSE125449","liver_biliary",0.313704492329791,0.516104675251223,0.713355853859736,0.228922842714341,0.42509689330211,TRUE,FALSE,TRUE,0,0,0,2000,0.628,FALSE,TRUE,TRUE
"REG1A","GSE125449","liver_biliary",0.976727590503501,0.989891684583968,0.995642696249889,0.702237452696298,0.996481288037661,TRUE,TRUE,TRUE,0.989494747373687,1,1,1999,0.994497248624312,FALSE,TRUE,TRUE
"SOCS1","GSE125449","liver_biliary",0.109722035676232,0.223343772132551,0.401555557678894,0.0547074594532345,0.258441148166931,TRUE,FALSE,FALSE,0,0,0,2000,0.0075,FALSE,TRUE,TRUE
"STAM2","GSE125449","liver_biliary",0.522123176328602,0.718260287664967,0.856084928519505,0.382291004294811,0.673347090500676,TRUE,TRUE,TRUE,0.608,0,1,2000,0.9995,FALSE,TRUE,TRUE
"STAT2","GSE125449","liver_biliary",0.417731800422121,0.626026156412331,0.796166387256737,0.285259362613679,0.577458298104891,TRUE,FALSE,TRUE,0.1535,0,1,2000,0.9565,FALSE,TRUE,TRUE
"STAT3","GSE125449","liver_biliary",0.201262967656961,0.370255339874319,0.578392105546893,0.115333558789092,0.394419847728659,TRUE,FALSE,FALSE,0.002,0,0,2000,0.1485,FALSE,TRUE,TRUE
"TGFB1","GSE125449","liver_biliary",0.227296624839041,0.407009584765356,0.615610088903301,0.110311048657723,0.383133422559147,TRUE,FALSE,FALSE,5e-04,0,0,2000,0.17,FALSE,TRUE,TRUE
"TLR2","GSE125449","liver_biliary",0.133829867576401,0.264985691082064,0.456878321998057,0.020774471464679,0.42199648720848,TRUE,FALSE,FALSE,0.0105,0,0,2000,0.088,FALSE,TRUE,TRUE
"TNF","GSE125449","liver_biliary",0.0279887859680272,0.0629576882436716,0.135524832374058,0.0180783890412334,0.0447137560289064,TRUE,FALSE,FALSE,0,0,0,2000,0,FALSE,TRUE,TRUE
"TNFRSF12A","GSE125449","liver_biliary",0.855992190823265,0.932748205439788,0.97002591014086,0.723284914355091,0.934639550425102,TRUE,TRUE,TRUE,1,1,1,2000,1,FALSE,TRUE,TRUE
