"cohort","comparison","method","n","r","ci_lo","ci_hi","p","label"
"TCGA-ESCA","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",125,0.2073,0.0329,0.3695,0.0203541830988806,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",181,-0.0567,-0.2009,0.0899,0.448298048321729,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",113,0.1802,-0.0047,0.3531,0.0561964794208881,"EXPLORATORY_POSTHOC"
"TCGA-READ","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",127,-0.0092,-0.1831,0.1653,0.918345766726498,"EXPLORATORY_POSTHOC"
"TCGA-STAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","pearson",327,0.0532,-0.0556,0.1607,0.337865457035594,"EXPLORATORY_POSTHOC"
"TCGA-COAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",356,0.2079,0.1052,0.3063,7.71617880221746e-05,"EXPLORATORY_POSTHOC"
"TCGA-ESCA","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",125,0.2582,0.0836,0.4174,0.00364568778235229,"EXPLORATORY_POSTHOC"
"TCGA-LIHC","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",181,-0.0707,-0.2145,0.0761,0.344226545141636,"EXPLORATORY_POSTHOC"
"TCGA-PAAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",113,0.0961,-0.0906,0.2764,0.311037858570388,"EXPLORATORY_POSTHOC"
"TCGA-READ","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",127,0.1409,-0.035,0.3084,0.114032400603524,"EXPLORATORY_POSTHOC"
"TCGA-STAD","4. score_140 vs STAT3_pY705 RPPA (from 13)","spearman",327,0.0445,-0.0643,0.1523,0.422631840081854,"EXPLORATORY_POSTHOC"
