"gene","qualifying","frac_epithelial","frac_stromal_six_amdt4","frac_endothelial_six_amdt4","frac_stromal_five_pilot"
"DNMT1",TRUE,0.299477930707167,0.0560037968675842,0.166587565258662,0.222591362126246
"EPAS1",TRUE,0.0909847434119279,0.182662968099861,0.702080443828017,0.884743411927878
"ESR2",TRUE,0.180952380952381,0.0476190476190476,0.180952380952381,0.228571428571429
"ETV6",TRUE,0.314864864864865,0.0837837837837838,0.202702702702703,0.286486486486487
"FGG",TRUE,0.954657217240382,0.00115707260630605,0.00361585189470639,0.00477292450101244
"FGL1",TRUE,0.871517771373679,0.00144092219020173,0.0026416906820365,0.00408261287223823
"FOS",TRUE,0.184549220169914,0.260207532017414,0.377646984234329,0.637854516251743
"GFAP",TRUE,0.65,0.05,0.1,0.15
"GREB1",TRUE,0.711111111111111,0.0666666666666667,0.0555555555555556,0.122222222222222
"HSPA4",TRUE,0.493645750595711,0.0988880063542494,0.128673550436855,0.227561556791104
"HSPB1",TRUE,0.478712207202559,0.171189763698277,0.20051594262718,0.371705706325457
"ICAM1",TRUE,0.31626754748142,0.0478943022295623,0.421414808698046,0.469309110927608
"IKBKE",TRUE,0.47732181425486,0.0388768898488121,0.0107991360691145,0.0496760259179266
"JAK2",TRUE,0.29368029739777,0.0966542750929368,0.148698884758364,0.245353159851301
"JUNB",TRUE,0.0957529130732222,0.205479605683717,0.426076911862012,0.631556517545729
"KRT17",TRUE,0.986564299424184,0.00413406171563561,0.0010335154289089,0.00516757714454451
"LEP",TRUE,NA,NA,NA,NA
"LGALS3BP",TRUE,0.647812971342383,0.230266465560583,0.0299145299145299,0.260180995475113
"LTBP1",TRUE,0.205623901581722,0.627416520210896,0.146748681898067,0.774165202108963
"MCL1",TRUE,0.308281756557619,0.0741968759210139,0.239242558208075,0.313439434129089
"MDC1",TRUE,0.478260869565217,0.0767263427109974,0.161125319693095,0.237851662404092
"MMP1",TRUE,0.832,0,0.112,0.112
"MMP7",TRUE,0.980885961513625,0.00154978690430066,0.000516595634766886,0.00206638253906754
"MUC1",TRUE,0.983526268922529,0.00422974176313446,0.0031166518254675,0.00734639358860196
"NME1",TRUE,0.690924183729939,0.0536801328168235,0.0594908688433868,0.11317100166021
"OAS1",TRUE,0.458083832335329,0.0508982035928144,0.0908183632734531,0.141716566866267
"OPRM1",TRUE,NA,NA,NA,NA
"PAX3",TRUE,NA,NA,NA,NA
"PHB",TRUE,0.625,0.0677941176470588,0.103088235294118,0.170882352941176
"POU2F1",TRUE,0.416539050535988,0.0964777947932619,0.211332312404288,0.30781010719755
"PPARA",TRUE,0.587671232876712,0.0958904109589041,0.143835616438356,0.23972602739726
"PRDM1",TRUE,0.026410998552822,0.0148335745296671,0.131693198263386,0.146526772793054
"PROS1",TRUE,0.574794520547945,0.194520547945205,0.185205479452055,0.37972602739726
"PSMB5",TRUE,0.601697312588402,0.10975954738331,0.161103253182461,0.270862800565771
"PTGS2",TRUE,0.109936575052854,0.251585623678647,0.219873150105708,0.471458773784355
"PTPN6",TRUE,0.191769547325103,0.00905349794238683,0.0806584362139918,0.0897119341563786
"ROR1",TRUE,0.774509803921569,0.127450980392157,0.0686274509803922,0.196078431372549
"S100A11",TRUE,0.687152955133381,0.0599429898996556,0.0661712609777397,0.126114250877395
"S1PR1",TRUE,0.0199203187250996,0.00597609561752988,0.836653386454183,0.842629482071713
"SALL4",TRUE,0.863636363636364,0,0,0
"SHH",TRUE,0.970059880239521,0,0,0
"STK11",TRUE,0.464190981432361,0.122015915119363,0.222811671087533,0.344827586206897
"TIMP1",TRUE,0.291854261548471,0.590513988288874,0.0591932335718933,0.649707221860768
"TNFRSF10B",TRUE,0.520361990950226,0.0452488687782805,0.263574660633484,0.308823529411765
"TP53",TRUE,0.389306599832916,0.10359231411863,0.235588972431078,0.339181286549708
"TP63",TRUE,0.470588235294118,0.117647058823529,0.0588235294117647,0.176470588235294
"VDR",TRUE,0.296153846153846,0.0769230769230769,0.0230769230769231,0.1
"VEGFA",TRUE,0.881262868908717,0.0229924502402196,0.00789293067947838,0.030885380919698
"VEGFB",TRUE,0.61090458488228,0.110285006195787,0.0619578686493185,0.172242874845105
"ZFP36",TRUE,0.108298292285248,0.167682141937698,0.46302811865328,0.630710260590978
"A2M",TRUE,0.187052157973671,0.14864189301783,0.609898350274954,0.758540243292785
"HMOX1",TRUE,0.252358490566038,0.0361635220125786,0.0534591194968553,0.089622641509434
"IFNAR1",TRUE,0.364229765013055,0.102697998259356,0.196257615317668,0.298955613577023
"IRF1",TRUE,0.134338085539715,0.0654175152749491,0.341099796334012,0.406517311608961
"MYD88",TRUE,0.400527009222661,0.0513833992094862,0.111989459815547,0.163372859025033
"PIM1",TRUE,0.13878842676311,0.066003616636528,0.135623869801085,0.201627486437613
"STAT1",TRUE,0.455841584158416,0.0564356435643564,0.0536633663366337,0.11009900990099
"TYK2",TRUE,0.383128295254833,0.0632688927943761,0.226713532513181,0.289982425307557
"BCL2",FALSE,0.227544910179641,0.0802395209580838,0.0658682634730539,0.146107784431138
"MMP9",FALSE,0.0913173652694611,0.062874251497006,0.0179640718562874,0.0808383233532934
"HGF",FALSE,0.109433962264151,0.726415094339623,0.0584905660377358,0.784905660377358
