"draw","pooled_M1_logHR"
554,0.111521538619684
555,0.112198536596335
556,0.128086785174669
557,0.120250745008579
558,0.113158059716275
559,0.0880179537968765
560,0.107255377944666
561,0.126513389823401
562,0.0999676676623128
563,0.130798616593094
564,0.111507423222973
565,0.123360875417845
566,0.093531063050936
567,0.120840678283587
568,0.133799299578259
569,0.120913520760033
570,0.134166526641712
571,0.0857893648053544
572,0.0980980488548407
573,0.118120762371455
574,0.124285919104539
575,0.128210913395826
576,0.105762947116971
577,0.107497382433657
578,0.0983746808678886
579,0.114223311865964
580,0.136289931904302
581,0.142642378523839
582,0.105582350400068
583,0.100036638172076
584,0.140679540015431
585,0.123506451178475
586,0.118106134064675
587,0.145573328013696
588,0.113934695556833
589,0.115476665834628
590,0.0916661804080123
591,0.0984746582327358
592,0.108479748071889
593,0.127162452778366
594,0.106225735828216
595,0.108387257516
596,0.116936472127111
597,0.0963332547013991
598,0.101447505632934
599,0.129832627929054
600,0.130801759682675
601,0.138308912758518
602,0.109027654492585
603,0.107150405900092
604,0.137464470097888
605,0.10247284558189
606,0.129914070748992
607,0.131649502739454
608,0.139470332930523
609,0.117736956014947
610,0.115084663520859
611,0.132300042388653
612,0.110424507103069
613,0.0978569899577105
614,0.120202091688169
615,0.116349775850332
616,0.132955843714654
617,0.103876457751974
618,0.113629293200251
619,0.101263806770189
620,0.135933039598966
621,0.113163683963815
622,0.125033911944445
623,0.126897958468
624,0.134750217302547
625,0.121592057099216
626,0.126959500038895
627,0.118448234945528
628,0.112820956897319
629,0.108232717494
630,0.109095281836844
631,0.114655022734367
632,0.115725251564135
633,0.144751921723378
634,0.118796053674621
635,0.115861866297499
636,0.132450852857534
637,0.110879624968653
638,0.0962227932403543
639,0.124372065680286
640,0.14623990142759
641,0.103652200965188
642,0.10925610554926
643,0.128257353041434
644,0.109384623560836
645,0.121231340376943
646,0.112374008581822
647,0.104983552709476
648,0.105269425096983
649,0.106964565572618
650,0.128871571736773
651,0.124725179484818
652,0.155024503872345
653,0.143886911015144
654,0.119548839897812
655,0.107871248220684
656,0.112045945529519
657,0.11043299433668
658,0.116627447328418
659,0.0841493848030364
660,0.111200136756454
661,0.111791405538371
662,0.0834734644076885
663,0.107727047397672
664,0.110648291962144
665,0.11754636636558
666,0.128915771158017
667,0.131789095406399
668,0.13418123974552
669,0.144307211470773
670,0.130761457212421
671,0.116494495582612
672,0.131859548213168
673,0.121375339350578
674,0.100443852115605
675,0.129551060216212
676,0.112353278304942
677,0.119366751355359
678,0.118306964547046
679,0.107664969842227
680,0.0727699544215138
681,0.112497111551249
682,0.130847015377595
683,0.130466700595554
684,0.109850050131928
685,0.110105991040218
686,0.124224139996032
687,0.134715018525327
688,0.12356853626612
689,0.121667760006296
690,0.125289080723148
691,0.118229996147477
692,0.116707984114231
693,0.119695278011778
694,0.128146810971957
695,0.104568320664256
696,0.134080003390262
697,0.124320493158878
698,0.122837354595553
699,0.106741330228115
700,0.119442811194068
701,0.0993845730485667
702,0.0992924151569448
703,0.110000086647872
704,0.126418902710535
705,0.106766093847259
706,0.106152319670793
707,0.138697013923254
708,0.117232230412747
709,0.116466973756954
710,0.13344335690338
711,0.116489564485219
712,0.0954024929624876
713,0.0816897242227926
714,0.102422118350436
715,0.103832832212007
716,0.101784595364306
717,0.0948960202833375
718,0.112176010992934
719,0.0964185853927473
720,0.138139064962392
721,0.091872890568018
722,0.152298765551407
723,0.102975111139988
724,0.137875061721115
725,0.103633019524259
726,0.1027352485268
727,0.120695562418481
728,0.109948304609717
729,0.153516326056952
730,0.118534070049332
731,0.127810151079559
732,0.137629672466028
733,0.106357329361817
734,0.125194053526009
735,0.125565767554048
736,0.125664585075511
737,0.109530854621978
738,0.0878453781580168
739,0.116018695362757
740,0.111422582586035
741,0.108151913281053
742,0.120722620921828
743,0.0895877371795848
744,0.144846159879087
745,0.109764779772861
746,0.107856272994311
747,0.125371745155072
748,0.133753342789305
749,0.0803826528500194
750,0.098134660351829
751,0.118946567069151
752,0.109104132943494
753,0.0972906885321967
754,0.0889967552590532
755,0.0940245792679134
756,0.112696166831676
757,0.150326089043511
758,0.129581033020725
759,0.104328475247862
760,0.123415005624349
761,0.130994848272255
762,0.116680813425013
763,0.13193513067901
764,0.129921009792461
765,0.127050090848802
766,0.120562342686621
767,0.0878890247888175
768,0.115367409718985
769,0.131450003328963
770,0.117646253746745
771,0.111707496603384
772,0.100077601268155
773,0.0914970633198135
774,0.106730554176744
775,0.101431201917972
776,0.109036758593096
777,0.133629434797229
778,0.127267996506871
779,0.104895815400647
780,0.107065692605279
781,0.105752495696871
782,0.129170374710011
783,0.0995704965226745
784,0.146047921548939
785,0.13382142679421
786,0.12012213937006
787,0.107505849659912
788,0.12064290290363
789,0.14393908312187
790,0.112005611330447
791,0.129251449667333
792,0.112953253256506
793,0.130579275677563
794,0.0991353168847429
795,0.112615444479973
796,0.109762989148946
797,0.133305219810509
798,0.111657158656461
799,0.127283088328472
800,0.121051439752724
801,0.109913096754371
802,0.110244101435
803,0.106579662292717
804,0.126541771336849
805,0.125654814895221
806,0.107985153398773
807,0.110296744058714
808,0.114528594303494
809,0.105684866081051
810,0.105264999236614
811,0.106931532205895
812,0.10698672521748
813,0.131651305840976
814,0.112232508155951
815,0.108147624830454
816,0.135338069826819
817,0.0916085216516499
818,0.115612901125763
819,0.124019580232835
820,0.129336421201698
821,0.134907556606757
822,0.125686480128848
823,0.148627929717255
824,0.118110659019393
825,0.155103024551976
826,0.0984123923678139
827,0.134223123846828
828,0.128613872282993
829,0.105457758513601
830,0.10971826765631
831,0.111001529815271
832,0.124757419102556
833,0.112034647633068
834,0.116470436525803
835,0.125944747400741
836,0.12672687070679
837,0.138197676944841
838,0.125631946976477
839,0.10956530907536
840,0.126868343671121
841,0.109442264015276
842,0.1266178814877
843,0.116376881564767
844,0.132634570097866
845,0.107340395307769
846,0.0966566617226581
847,0.0939743490809172
848,0.106476826343843
849,0.109095473958626
850,0.111163918844
851,0.115128651329707
852,0.111389669075347
853,0.0978921966763493
854,0.118220110911011
855,0.110421256567687
856,0.120166563236548
857,0.124631773785866
858,0.121317586941709
859,0.110874196200324
860,0.118662699722642
861,0.10709742256111
862,0.117219357670503
863,0.110990380759608
864,0.126797005921137
865,0.110966860491228
866,0.106072539281785
867,0.146602902513251
868,0.106237806636902
869,0.10223173029012
870,0.121931756042931
871,0.118655288163777
872,0.133696643508774
873,0.116259383677846
874,0.135021156349894
875,0.128670409299736
876,0.113917092507919
877,0.104053859540653
878,0.117020084766048
879,0.125086031542459
880,0.117505221269801
881,0.148178700869725
882,0.0940331569235558
883,0.137295517262248
884,0.102536479457454
885,0.130582279544487
886,0.137121601017884
887,0.114241862776105
888,0.0999004619304133
889,0.105129867757836
890,0.128075601717592
891,0.0999016911400213
892,0.129737756098285
893,0.0923139148264119
894,0.137604774487304
895,0.101935830522971
896,0.114873980739938
897,0.110927908451828
898,0.0962929530254306
899,0.11773709784263
900,0.148883390290106
901,0.109101471245115
902,0.120734467079641
903,0.120416893817116
904,0.113127998016054
905,0.0934943770060274
906,0.119807543399523
907,0.0943269388939258
908,0.110641509536436
909,0.116155886425016
910,0.125403283044769
911,0.124682119483533
912,0.094221509211309
913,0.130332574989961
914,0.105083276537673
915,0.0989811967212317
916,0.107578534475315
917,0.0889807986048414
918,0.147184096201362
919,0.12946498915032
920,0.0984894466457543
921,0.115102645058727
922,0.111997266207528
923,0.111660346706032
924,0.137351348339045
925,0.132404018399121
926,0.0965663301292889
927,0.12319446936297
928,0.123964800267471
929,0.124308919345835
930,0.11606899597356
931,0.109821903179702
932,0.0929214949427408
933,0.110229305250855
934,0.13983870512169
935,0.128506582397751
936,0.108983829518104
937,0.10336331119311
938,0.112058659253511
939,0.136896827548706
940,0.111669617585533
941,0.127741153146706
942,0.140660131276218
943,0.116485692958159
944,0.127356263878049
945,0.103381209179222
946,0.120192721862272
947,0.0803804941240359
948,0.134663469686183
949,0.123289177583754
950,0.115803096253629
951,0.128154807853894
952,0.10572517737882
953,0.109556960773601
954,0.108407406507218
955,0.122730623233973
956,0.129836967562426
957,0.0964908607004114
958,0.111894308490585
959,0.103284219261286
960,0.107573071172004
961,0.0970557493972566
962,0.132231505348678
963,0.126019812902731
964,0.127926967736268
965,0.131158506709136
966,0.127719472896966
967,0.127120527531403
968,0.119893533905971
969,0.120880917226434
970,0.113326580632431
971,0.132911644152905
972,0.118114837309363
973,0.135248964787111
974,0.117695018103503
975,0.0982548924044457
976,0.104794539290915
977,0.122341927915913
978,0.106393529755247
979,0.109753022062526
980,0.111315862641511
981,0.121230056699776
982,0.118088589897198
983,0.125927744143674
984,0.106210804535064
985,0.128570575375468
986,0.124949660613668
987,0.126964909629165
988,0.122010971108937
989,0.108610576574747
990,0.110935160864681
991,0.116348548812917
992,0.0988831137274168
993,0.099589877303273
994,0.104069934230184
995,0.111827711952266
996,0.0837582300004854
997,0.110600043395405
998,0.134554345659619
999,0.0956756152486075
1000,0.116829481420742
1001,0.0933444447903242
1002,0.109995268817487
1003,0.119676462371655
1004,0.122869789304736
1005,0.119669772346792
1006,0.126715530992713
1007,0.118042065235149
1008,0.114553839616415
1009,0.117294786809505
1010,0.137010910438561
1011,0.0902910108897074
1012,0.118018487068058
1013,0.101385181466112
1014,0.124133081863199
1015,0.0982547629030714
1016,0.11335007455601
1017,0.139664983697137
1018,0.103492649964697
1019,0.100832671130476
1020,0.131662531333672
1021,0.127049504710311
1022,0.112268481954979
1023,0.0936631078506723
1024,0.136003313632478
1025,0.11522543095026
1026,0.110085777072769
1027,0.0817416869922872
1028,0.116791887058697
1029,0.130378007367597
1030,0.143513226421666
1031,0.0861922643152465
1032,0.124766821136014
1033,0.124717052198517
1034,0.109141036107724
1035,0.104180992643115
1036,0.106923759961362
1037,0.0999489551037382
1038,0.111380054886711
1039,0.116294585667615
1040,0.134721441946376
1041,0.122486129189973
1042,0.137834272244474
1043,0.105291157618645
