gene,origin_score,via_A_hallmark,criterion_B_human,route_human,n_independent_human,n_independent_incl_mouse,ENCODE_ChIP-seq,ReMap_ChIP-seq,Literature_ChIP-seq_human,Literature_ChIP-seq_mouse,TRRUST_v2_curated
ARHGAP24,False,False,True,B_only,2,3,True,False,True,True,False
ARHGDIA,False,False,True,B_only,2,2,True,True,False,False,False
ARHGEF18,False,False,True,B_only,2,3,True,False,True,True,False
ARID5B,False,False,True,B_only,2,3,True,False,True,True,False
ARIH1,False,False,True,B_only,2,3,True,False,True,True,False
ARL13B,False,False,True,B_only,2,3,True,False,True,True,False
ARL15,False,False,True,B_only,2,3,True,False,True,True,False
ARL6IP1,False,False,True,B_only,2,3,True,False,True,True,False
ARNTL2,False,False,True,B_only,2,2,True,False,True,False,False
ARPC5L,False,False,True,B_only,2,2,True,True,False,False,False
ASAH1,False,False,True,B_only,2,2,True,False,True,False,False
ASNA1,False,False,True,B_only,2,3,True,True,False,True,False
ASNS,False,False,True,B_only,2,3,True,False,True,True,False
ASNSD1,False,False,True,B_only,2,2,True,False,True,False,False
ASPH,False,False,True,B_only,2,3,True,False,True,True,False
ASXL1,False,False,True,B_only,3,4,True,True,True,True,False
ATAD2B,False,False,True,B_only,2,2,True,False,True,False,False
ATE1,False,False,True,B_only,2,2,True,False,True,False,False
ATG13,False,False,True,B_only,2,2,True,False,True,False,False
ATG4C,False,False,True,B_only,2,2,True,False,True,False,False
ATG7,False,False,True,B_only,2,2,True,False,True,False,False
ATL2,False,False,True,B_only,2,3,True,False,True,True,False
ATN1,False,False,True,B_only,2,2,True,True,False,False,False
ATP13A1,False,False,True,B_only,2,2,True,True,False,False,False
ATP2B4,False,False,True,B_only,2,3,True,True,False,True,False
ATR,False,False,True,B_only,2,2,True,False,True,False,False
ATXN1,False,False,True,B_only,2,2,True,True,False,False,False
B3GAT3,False,False,True,B_only,2,2,True,True,False,False,False
B4GALT1,False,False,True,B_only,3,3,True,True,True,False,False
B4GALT3,False,False,True,B_only,2,2,True,True,False,False,False
BACH2,False,False,True,B_only,2,3,True,False,True,True,False
BAG2,False,False,True,B_only,2,2,True,False,True,False,False
BARD1,False,False,True,B_only,2,2,True,False,True,False,False
BAZ2B,False,False,True,B_only,2,3,True,False,True,True,False
BBC3,False,False,True,B_only,2,2,False,True,True,False,False
BBS1,False,False,True,B_only,2,2,True,False,True,False,False
BBS2,False,False,True,B_only,2,2,True,False,True,False,False
BBX,False,False,True,B_only,2,2,True,False,True,False,False
BCAS3,False,False,True,B_only,2,2,True,False,True,False,False
BCL2A1,False,False,True,B_only,2,2,True,True,False,False,False
BCL2L1,False,False,True,B_only,3,4,True,False,True,True,True
BCL3,False,False,True,B_only,2,3,True,True,False,True,False
BCL6,False,False,True,B_only,4,5,True,True,True,True,True
BCL9L,False,False,True,B_only,2,2,True,True,False,False,False
BDKRB1,False,False,True,B_only,2,2,True,True,False,False,False
BDNF-AS,False,False,True,B_only,2,2,True,False,True,False,False
BEST1,False,False,True,B_only,3,3,True,True,True,False,False
BET1,False,False,True,B_only,2,2,True,False,True,False,False
BHLHE40,False,False,True,B_only,3,4,True,True,True,True,False
BICD1,False,False,True,B_only,2,2,True,False,True,False,False
BIN1,False,False,True,B_only,2,2,True,False,True,False,False
BIRC6,False,False,True,B_only,2,2,True,False,True,False,False
BMF,False,False,True,B_only,3,4,True,True,True,True,False
BORCS5,False,False,True,B_only,2,2,True,False,True,False,False
BTBD19,False,False,True,B_only,2,2,True,True,False,False,False
BTF3,False,False,True,B_only,2,2,True,False,True,False,False
BTG1,False,False,True,B_only,2,3,True,True,False,True,False
BTG2,False,False,True,B_only,2,3,True,True,False,True,False
C1D,False,False,True,B_only,2,3,True,False,True,True,False
C1GALT1,False,False,True,B_only,2,2,True,False,True,False,False
C2CD4A,False,False,True,B_only,2,2,True,True,False,False,False
C2CD5,False,False,True,B_only,2,2,True,False,True,False,False
C3,False,False,True,B_only,2,2,True,True,False,False,False
CAB39,False,False,True,B_only,2,2,True,False,True,False,False
CABLES2,False,False,True,B_only,2,3,True,False,True,True,False
CACNA2D1,False,False,True,B_only,2,2,True,False,True,False,False
CALD1,False,False,True,B_only,2,2,True,False,True,False,False
CALM1,False,False,True,B_only,2,3,True,False,True,True,False
CAMKK1,False,False,True,B_only,2,2,True,False,True,False,False
CANT1,False,False,True,B_only,3,3,True,True,True,False,False
CAP1,False,False,True,B_only,2,3,True,False,True,True,False
CAPN2,False,False,True,B_only,2,3,True,False,True,True,False
CAPNS1,False,False,True,B_only,2,2,True,True,False,False,False
CARD6,False,False,True,B_only,2,2,True,False,True,False,False
CARS2,False,False,True,B_only,2,2,True,True,False,False,False
CASC4,False,False,True,B_only,2,2,True,False,True,False,False
CASP8,False,False,True,B_only,3,4,True,True,True,True,False
CASZ1,False,False,True,B_only,2,3,True,False,True,True,False
